href,disease_type,keyword
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Стеноз трехстворчатого
                        (трикуспидального) клапана"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,Тетрада Фалло
https://bookinghealth.ru/clinics/treatment/cyber-knife-/germany,Кибер нож ,Герминома головного мозга
https://bookinghealth.ru/clinics/treatment/cyber-knife-/germany,Кибер нож ,Злокачественный рак (опухоль)
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Астроцитома головного мозга
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Дисгерминома
                        яичников"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Злокачественная опухоль
                        средостения"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Менингиома головного мозга
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Нейробластома
                        (ганглионейробластома)"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Нефробластома (опухоль
                        Вильмса)"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Неходжкинская лимфома (НХЛ)
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Острый лимфобластный
                        лейкоз (ОЛЛ)"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Острый миелобластный лейкоз
                        (ОМЛ)"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Рабдомиосаркома
                        орбиты"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Рак гортани
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Рак лёгкого
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Рак молочной железы (Рак груди)
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Рак надпочечника (рак коры
                        надпочечника)"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Рак пищевода
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Рак предстательной железы (рак
                        простаты)"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Рак трахеи
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Ретинобластома
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Саркома мягких тканей
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Светлоклеточная саркома
                        почки"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Семинома
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Фибросаркома детей
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Ходжкинская лимфома
                        (лимфогранулематоз)"
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Эпендимобластома
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Эпендимома
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,Эпиндимома
https://bookinghealth.ru/clinics/treatment/radiotherapy/germany,Лучевая терапия ,"Ювенильная
                        назофарингеальная ангиофиброма"
